"337/0001","PREVIEWS ONLY #339 DEC 2016",,"2.00",,,"DIAMOND PUBLICATIONS"
"337/0002","MARVEL PREVIEWS ONLY #339 DEC 2016",,"0.75",,,"DIAMOND PUBLICATIONS"
"337/0003","PREVIEWS AND MARVEL PREVIEWS #339 DEC 2016 ",,"2.00",,,"DIAMOND PUBLICATIONS"
"337/0004","PREVIEWS #339 DEC 2016 CUSTOMER ORDER FORM",,"0.00",,,"DIAMOND PUBLICATIONS"
"337/0008","GAME TRADE MAGAZINE #202 ",,"0.75",,,"DIAMOND PUBLICATIONS"
"337/0010","FCBD DC LIL BOMBSHELLS WONDER WOMAN 75TH ANN VINYL FIG ",,"5.99",,,"DIAMOND PUBLICATIONS"
"337/0011","FCBD 2017 MARVEL GALLERY OLD MAN LOGAN PVC FIG  ",,"40.08",,,"DIAMOND PUBLICATIONS"
"337/0012","FCBD 2017 POP MARVEL IRON FIST PX VIN FIG WHITE COSTUME VER ",,"12.85",,,"DIAMOND PUBLICATIONS"
"337/0018","LEGEND OF ZELDA ART & ARTIFACTS HC  ","our price","26.09","reduce from","35.99","DARK HORSE"
"337/0019","ALIENS VS PREDATOR LIFE AND DEATH #1 MAIN PALUMBO CVR",,"2.95",,,"DARK HORSE"
"337/0020","ALIENS VS PREDATOR LIFE AND DEATH #1 VAR TENG CVR",,"2.95",,,"DARK HORSE"
"337/0021","ALIENS VS PREDATOR LIFE AND DEATH #1 30TH ANNV VAR CVR",,"2.95",,,"DARK HORSE"
"337/0022","ALIENS DEFIANCE #8",,"2.95",,,"DARK HORSE"
"337/0023","ALIENS LIFE AND DEATH #4 (OF 4)",,"2.95",,,"DARK HORSE"
"337/0024","DEAD INSIDE #1 MAIN CVR",,"2.95",,,"DARK HORSE"
"337/0025","DEAD INSIDE #1 VAR HICKS CVR",,"2.95",,,"DARK HORSE"
"337/0026","GWENT HC ART OF WITCHER CARD GAME  ","our price","26.09","reduce from","35.99","DARK HORSE"
"337/0027","WORLD OF TANKS #5",,"2.95",,,"DARK HORSE"
"337/0028","DRAGON AGE ADULT COLORING BOOK SC  ","our price","11.59","reduce from","15.99","DARK HORSE"
"337/0029","CALL OF DUTY ZOMBIES #2",,"2.95",,,"DARK HORSE"
"337/0030","TOMB RAIDER 2016 #11 ",,"2.95",,,"DARK HORSE"
"337/0031","TOMB RAIDER ARCHIVES HC 01  ","our price","26.09","reduce from","35.99","DARK HORSE"
"337/0032","MASS EFFECT OMNIBUS TP 02  ","our price","16.67","reduce from","22.99","DARK HORSE"
"337/0033","CONAN THE SLAYER #6",,"2.95",,,"DARK HORSE"
"337/0034","HOW TRAIN YOUR DRAGON TP 01 SERPENTS HEIR  ","our price","7.24","reduce from","9.99","DARK HORSE"
"337/0035","HE-MAN & MASTERS OF UNIVERSE NEWSPAPER COMIC STRIPS HC ","our price","19.57","reduce from","26.99","DARK HORSE"
"337/0036","ANGEL CATBIRD HC 02 CASTLE CATULA  ","our price","10.14","reduce from","13.99","DARK HORSE"
"337/0037","ANGEL CATBIRD HC 01 ",,"11.50",,,"DARK HORSE"
"337/0038","WILL SAVE THE GALAXY FOR FOOD SC NOVEL  ","our price","8.69","reduce from","11.99","DARK HORSE"
"337/0039","JAM SC NOVEL ",,"5.99",,,"DARK HORSE"
"337/0040","MOGWORLD SC NOVEL ",,"5.99",,,"DARK HORSE"
"337/0041","SABERTOOTH SWORDSMAN HC 01 (2ND ED)  ","our price","11.59","reduce from","15.99","DARK HORSE"
"337/0042","BRIGGS LAND #5",,"2.95",,,"DARK HORSE"
"337/0043","BLACK HAMMER #6 ORMSTON MAIN",,"2.95",,,"DARK HORSE"
