"348/0001","PREVIEWS #350 ONLY NOV",,"2.50",,,"DIAMOND PUBLICATIONS"
"348/0002","MARVEL PREVIEWS #350 ONLY NOV",,"0.75",,,"DIAMOND PUBLICATIONS"
"348/0003","PREVIEWS AND MARVEL PREVIEWS #350 NOV",,"2.50",,,"DIAMOND PUBLICATIONS"
"348/0004","CUSTOMER ORDER FORM PREVIEWS #350 NOV",,"0.00",,,"DIAMOND PUBLICATIONS"
"348/0008","GAME TRADE MAGAZINE #213",,"0.75",,,"DIAMOND PUBLICATIONS"
"348/0010","COMIC SHOP TALES BOOK 01 GRAND OPENING",,"6.99",,,"DIAMOND PUBLICATIONS"
"348/0011","PREVIEWS HOLIDAY GIFT GUIDE 2017",,"0.50",,,"DIAMOND PUBLICATIONS"
"348/0013","PREVIEWS LOGO BLACK T/S SM",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0014","PREVIEWS LOGO BLACK T/S MED",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0015","PREVIEWS LOGO BLACK T/S LG",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0016","PREVIEWS LOGO BLACK T/S XL",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0017","PREVIEWS LOGO BLACK T/S XXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"348/0018","PREVIEWS LOGO BLACK T/S XXXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"348/0019","PREVIEWS LOGO HEATHER BLUE T/S SM",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0020","PREVIEWS LOGO HEATHER BLUE T/S MED",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0021","PREVIEWS LOGO HEATHER BLUE T/S LG",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0022","PREVIEWS LOGO HEATHER BLUE T/S XL",,"12.21",,,"DIAMOND PUBLICATIONS"
"348/0023","PREVIEWS LOGO HEATHER BLUE T/S XXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"348/0024","PREVIEWS LOGO HEATHER BLUE T/S XXXL",,"14.96",,,"DIAMOND PUBLICATIONS"
"348/0033","RASPUTIN VOICE OF DRAGON #1 (OF 5)",,"2.95",,,"DARK HORSE"
"348/0034","RASPUTIN VOICE OF DRAGON #1 (OF 5) VAR",,"2.95",,,"DARK HORSE"
"348/0035","JENNY FINN #1 (OF 4)",,"2.95",,,"DARK HORSE"
"348/0036","HELLBOY & BPRD 1955 OCCULT INTELLIGENCE #3 (OF 3)",,"2.95",,,"DARK HORSE"
"348/0037","HELLBOY AND THE BPRD 1954 TP","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0038","BPRD DEVIL YOU KNOW #4",,"2.95",,,"DARK HORSE"
"348/0039","HARROW COUNTY #27",,"2.95",,,"DARK HORSE"
"348/0040","SHADOWS ON THE GRAVE HC","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0041","RAT GOD HC",,"14.50",,,"DARK HORSE"
"348/0042","ANGEL SEASON 11 #11",,"2.95",,,"DARK HORSE"
"348/0043","ANGEL SEASON 11 #11 VAR",,"2.95",,,"DARK HORSE"
"348/0044","ANGEL SEASON 11 TP 02","OUR PRICE","11.59","REDUCED FROM","15.99","DARK HORSE"
"348/0045","NEIL GAIMAN AMERICAN GODS SHADOWS #9 (MR)",,"2.95",,,"DARK HORSE"
"348/0046","NEIL GAIMAN AMERICAN GODS SHADOWS #9 VAR (MR)",,"2.95",,,"DARK HORSE"
"348/0047","NEIL GAIMAN FORBIDDEN BRIDES SLAVES DREAD DESIRE HC",,"12.50",,,"DARK HORSE"
"348/0048","NEIL GAIMAN TROLL BRIDGE HC",,"10.75",,,"DARK HORSE"
"348/0049","NEIL GAIMAN HOW TO TALK TO GIRLS AT PARTIES HC (R",,"10.75",,,"DARK HORSE"
"348/0050","SHERLOCK FRANKENSTEIN & LEGION OF EVIL #2 (OF 4)",,"2.95",,,"DARK HORSE"
"348/0051","SHERLOCK FRANKENSTEIN & LEGION OF EVIL #2 (OF 4) VAR",,"2.95",,,"DARK HORSE"
"348/0052","BLACK HAMMER GIANT SIZED ANNUAL #1",,"4.40",,,"DARK HORSE"
"348/0053","BLACK HAMMER TP 01 SECRET ORIGINS",,"11.50",,,"DARK HORSE"
"348/0054","DARK HORSE NUMBER ONES TP",,"4.75",,,"DARK HORSE"
"348/0055","BRIGGS LAND LONE WOLVES #6 (OF 6)",,"2.95",,,"DARK HORSE"
"348/0056","BRIGGS LAND LONE WOLVES #6 (OF 6) VAR",,"2.95",,,"DARK HORSE"
"348/0057","BRIGGS LAND TP 02 LONE WOLVES","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0058","DEPT H #20",,"2.95",,,"DARK HORSE"
"348/0059","MIND MGMT HC 01 MANAGER",,"14.50",,,"DARK HORSE"
"348/0060","MIND MGMT HC 02 FUTURIST",,"14.50",,,"DARK HORSE"
"348/0061","MIND MGMT HC 03 HOME MAKER",,"14.50",,,"DARK HORSE"
"348/0062","MIND MGMT HC 04 MAGICIAN",,"14.50",,,"DARK HORSE"
"348/0063","MIND MGMT HC 05 THE ERASER",,"14.50",,,"DARK HORSE"
"348/0064","MIND MGMT HC 06 THE IMMORTALS",,"14.50",,,"DARK HORSE"
"348/0065","DEPT H HC 03 DECOMPRESSED","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0066","DEPT H HC 01 PRESSURE",,"14.50",,,"DARK HORSE"
"348/0067","DEPT H HC 02 AFTER THE FLOOD",,"14.50",,,"DARK HORSE"
"348/0068","MATT WAGNER GRENDEL TALES OMNIBUS TP 02","OUR PRICE","16.67","REDUCED FROM","22.99","DARK HORSE"
"348/0069","MATT WAGNER GRENDEL TALES OMNIBUS TP 01",,"18.25",,,"DARK HORSE"
"348/0070","MICHAEL CHABON ESCAPIST AMAZING ADV TP","OUR PRICE","16.67","REDUCED FROM","22.99","DARK HORSE"
"348/0071","NIOURK HC","OUR PRICE","16.67","REDUCED FROM","22.99","DARK HORSE"
"348/0072","PREDATOR HUNTERS TP","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0073","ALIEN VS PREDATOR FIRE & STONE TP",,"11.50",,,"DARK HORSE"
"348/0074","ALIENS VS PREDATOR OMNIBUS TP 01",,"18.25",,,"DARK HORSE"
"348/0075","ALIENS VS PREDATOR OMNIBUS TP 02 (NEW PTG)",,"18.25",,,"DARK HORSE"
"348/0076","PREDATOR FIRE & STONE TP",,"11.50",,,"DARK HORSE"
"348/0077","PREDATOR LIFE AND DEATH TP",,"11.50",,,"DARK HORSE"
"348/0078","PREDATOR VS JUDGE DREDD VS ALIENS HC",,"19.50",,,"DARK HORSE"
"348/0079","PROMETHEUS FIRE & STONE TP",,"11.50",,,"DARK HORSE"
"348/0080","PROMETHEUS LIFE AND DEATH TP 01",,"11.50",,,"DARK HORSE"
"348/0081","USAGI YOJIMBO #163",,"2.95",,,"DARK HORSE"
"348/0082","USAGI YOJIMBO SAGA TP 02",,"18.25",,,"DARK HORSE"
"348/0083","USAGI YOJIMBO SAGA TP 03",,"18.25",,,"DARK HORSE"
"348/0084","USAGI YOJIMBO SAGA TP 04",,"18.25",,,"DARK HORSE"
"348/0085","USAGI YOJIMBO SAGA TP 06",,"18.25",,,"DARK HORSE"
"348/0086","USAGI YOJIMBO SENSO HC",,"14.50",,,"DARK HORSE"
"348/0087","LEGEND OF KORRA TP 02 TURF WARS PT 2","OUR PRICE","7.24","REDUCED FROM","9.99","DARK HORSE"
"348/0088","LEGEND OF KORRA TP 01 TURF WARS PT 1",,"8.25",,,"DARK HORSE"
"348/0089","LEGEND KORRA ART ANIMATED HC 01 AIR",,"23.99",,,"DARK HORSE"
"348/0090","LEGEND KORRA ART ANIMATED HC 02 SPIRITS",,"23.99",,,"DARK HORSE"
"348/0091","LEGEND KORRA ART ANIMATED HC 03 CHANGE",,"23.99",,,"DARK HORSE"
"348/0092","LEGEND KORRA ART ANIMATED HC 04 BALANCE",,"23.99",,,"DARK HORSE"
"348/0093","MASS EFFECT DISCOVERY TP","OUR PRICE","11.59","REDUCED FROM","15.99","DARK HORSE"
"348/0094","MASS EFFECT FOUNDATION TP 01",,"12.50",,,"DARK HORSE"
"348/0095","MASS EFFECT FOUNDATION TP 02",,"12.50",,,"DARK HORSE"
"348/0096","MASS EFFECT FOUNDATION TP 03",,"12.50",,,"DARK HORSE"
"348/0097","MASS EFFECT LIBRARY EDITION HC 01",,"40.50",,,"DARK HORSE"
"348/0098","MASS EFFECT LIBRARY EDITION HC 02",,"33.75",,,"DARK HORSE"
"348/0099","MASS EFFECT TP 01 REDEMPTION",,"12.50",,,"DARK HORSE"
"348/0100","MASS EFFECT TP 02 EVOLUTION",,"12.50",,,"DARK HORSE"
"348/0101","MASS EFFECT TP 03 INVASION",,"12.50",,,"DARK HORSE"
"348/0102","MASS EFFECT TP 04 HOMEWORLDS",,"12.50",,,"DARK HORSE"
"348/0103","DRAGON AGE KNIGHT ERRANT TP","OUR PRICE","11.59","REDUCED FROM","15.99","DARK HORSE"
"348/0104","DRAGON AGE HC 02 THOSE WHO SPEAK",,"11.50",,,"DARK HORSE"
"348/0105","DRAGON AGE HC 03 UNTIL WE SLEEP",,"11.50",,,"DARK HORSE"
"348/0106","DRAGON AGE INQUISITION POSTER COLLECTION TP",,"20.75",,,"DARK HORSE"
"348/0107","DRAGON AGE LIBRARY ED HC 01",,"27.00",,,"DARK HORSE"
"348/0108","DRAGON AGE MAGEKILLER TP",,"11.50",,,"DARK HORSE"
"348/0109","DRAGON AGE WORLD OF THEDAS HC 01",,"27.00",,,"DARK HORSE"
"348/0110","DRAGON AGE WORLD OF THEDAS HC 02",,"27.00",,,"DARK HORSE"
"348/0111","TOMB RAIDER SURVIVORS CRUSADE #1 (OF 4)",,"2.95",,,"DARK HORSE"
"348/0112","TOMB RAIDER TP 01 SEASON OF WITCH",,"14.50",,,"DARK HORSE"
"348/0113","TOMB RAIDER TP 02 SECRETS AND LIES",,"14.50",,,"DARK HORSE"
"348/0114","TOMB RAIDER TP 03 QUEEN OF SERPENTS",,"14.50",,,"DARK HORSE"
"348/0115","TOMB RAIDER 2016 TP 01 SPORE",,"14.50",,,"DARK HORSE"
"348/0116","TOMB RAIDER 2016 TP 02 CHOICE & SACRIFICE",,"14.50",,,"DARK HORSE"
"348/0117","TOMB RAIDER ARCHIVES HC 01",,"27.00",,,"DARK HORSE"
"348/0118","TOMB RAIDER ARCHIVES HC 02",,"27.00",,,"DARK HORSE"
"348/0119","HALO RISE OF ATRIOX #4 (OF 5)",,"2.95",,,"DARK HORSE"
"348/0120","HALO ESCALATION TP 01",,"14.50",,,"DARK HORSE"
"348/0121","HALO ESCALATION TP 02",,"14.50",,,"DARK HORSE"
"348/0122","HALO ESCALATION TP 03",,"14.50",,,"DARK HORSE"
"348/0123","HALO ESCALATION TP 04",,"14.50",,,"DARK HORSE"
"348/0124","HALO FALL OF REACH TP",,"18.25",,,"DARK HORSE"
"348/0125","HALO INITIATION HC",,"11.50",,,"DARK HORSE"
"348/0126","HALO LIBRARY ED HC 01",,"33.75",,,"DARK HORSE"
"348/0127","HALO LIBRARY ED HC 02",,"33.75",,,"DARK HORSE"
"348/0128","HALO TALES FROM SLIPSPACE HC",,"14.50",,,"DARK HORSE"
"348/0129","I AM A HERO OMNIBUS TP 05","OUR PRICE","13.04","REDUCED FROM","17.99","DARK HORSE"
"348/0130","I AM A HERO OMNIBUS TP 01",,"14.50",,,"DARK HORSE"
"348/0131","I AM A HERO OMNIBUS TP 02",,"14.50",,,"DARK HORSE"
"348/0132","I AM A HERO OMNIBUS TP 03",,"14.50",,,"DARK HORSE"
"348/0133","I AM A HERO OMNIBUS TP 04",,"14.50",,,"DARK HORSE"
"348/0134","HATSUNE MIKU FUTURE DELIVERY TP 02","OUR PRICE","7.24","REDUCED FROM","9.99","DARK HORSE"
"348/0135","HATSUNE MIKU MIKUBON TP",,"8.25",,,"DARK HORSE"
"348/0136","HATSUNE MIKU RIN-CHAN NOW TP 01",,"8.25",,,"DARK HORSE"
"348/0137","HATSUNE MIKU RIN-CHAN NOW TP 02",,"8.25",,,"DARK HORSE"
"348/0138","HATSUNE MIKU UNOFFICIAL HATSUNE MIX TP",,"14.50",,,"DARK HORSE"
"348/0139","GOT DAENERYS MOTHER OF DRAGONS BUST",,"76.78",,,"DARK HORSE"
"348/0140","ANGEL & FAITH SEASON 10 TP 01 RIVER MEETS SEA",,"13.75",,,"DARK HORSE"
"348/0141","ANGEL & FAITH SEASON 10 TP 02 LOST AND FOUND",,"13.75",,,"DARK HORSE"
"348/0142","ANGEL & FAITH SEASON 10 TP 03 UNITED",,"13.75",,,"DARK HORSE"
"348/0143","ANGEL & FAITH SEASON 10 TP 04 MORE THAN KIN",,"13.75",,,"DARK HORSE"
"348/0144","ANGEL & FAITH TP 01 LIVE THROUGH THIS",,"12.99",,,"DARK HORSE"
"348/0145","ANGEL & FAITH TP 02 DADDY ISSUES",,"12.99",,,"DARK HORSE"
"348/0146","ANGEL & FAITH TP 03 FAMILY REUNION",,"12.99",,,"DARK HORSE"
"348/0147","ANGEL & FAITH TP 04 DEATH & CONSEQUENCES",,"12.99",,,"DARK HORSE"
"348/0148","ANGEL & FAITH TP 05 WHAT YOU WANT NOT WHAT YOU NEED",,"12.99",,,"DARK HORSE"
"348/0149","ANGEL AND FAITH SEASON 9 LIBRARY ED HC 01",,"20.75",,,"DARK HORSE"
"348/0150","ANGEL AND FAITH SEASON 9 LIBRARY ED HC 02",,"20.75",,,"DARK HORSE"
"348/0151","AVATAR LAST AIRBENDER ADULT COLORING BOOK TP",,"12.99",,,"DARK HORSE"
"348/0152","AVATAR LAST AIRBENDER ART ANIMATED SERIES HC",,"23.99",,,"DARK HORSE"
"348/0153","AVATAR LAST AIRBENDER LOST ADVENTURES TP 01",,"11.50",,,"DARK HORSE"
"348/0154","AVATAR LAST AIRBENDER PROMISE LIBRARY ED HC",,"27.00",,,"DARK HORSE"
"348/0155","AVATAR LAST AIRBENDER RIFT LIBRARY ED HC",,"27.00",,,"DARK HORSE"
"348/0156","AVATAR LAST AIRBENDER SEARCH LIBRARY ED HC",,"27.00",,,"DARK HORSE"
"348/0157","AVATAR LAST AIRBENDER POSTER COLLECTION TP",,"18.25",,,"DARK HORSE"
"348/0158","AVATAR LAST AIRBENDER TP 01 PROMISE PART 1",,"8.25",,,"DARK HORSE"
"348/0159","AVATAR LAST AIRBENDER TP 02 PROMISE PART 2",,"8.25",,,"DARK HORSE"
"348/0160","AVATAR LAST AIRBENDER TP 03 PROMISE PART 3",,"8.25",,,"DARK HORSE"
"348/0161","AVATAR LAST AIRBENDER TP 04 SEARCH PART 1",,"8.25",,,"DARK HORSE"
"348/0162","AVATAR LAST AIRBENDER TP 06 SEARCH PART 3",,"8.25",,,"DARK HORSE"
"348/0163","AVATAR LAST AIRBENDER TP 08 RIFT PART 2",,"8.25",,,"DARK HORSE"
"348/0164","AVATAR LAST AIRBENDER TP 09 RIFT PART 3",,"8.25",,,"DARK HORSE"
"348/0165","AVATAR LAST AIRBENDER TP 10 SMOKE & SHADOW PT1",,"8.25",,,"DARK HORSE"
"348/0166","AVATAR LAST AIRBENDER TP 11 SMOKE & SHADOW PT2",,"8.25",,,"DARK HORSE"
"348/0167","AVATAR LAST AIRBENDER TP 13 NORTH SOUTH PT1",,"8.25",,,"DARK HORSE"
"348/0168","AVATAR LAST AIRBENDER TP 14 NORTH SOUTH PT2",,"8.25",,,"DARK HORSE"
"348/0169","AVATAR LAST AIRBENDER TP 15 NORTH SOUTH PT3",,"8.25",,,"DARK HORSE"
"348/0170","AXE COP TP 01",,"11.50",,,"DARK HORSE"
"348/0171","AXE COP TP 02 BAD GUY EARTH",,"9.99",,,"DARK HORSE"
"348/0172","AXE COP TP 03",,"11.50",,,"DARK HORSE"
"348/0173","AXE COP TP 04 PRESIDENT WORLD",,"9.99",,,"DARK HORSE"
"348/0174","AXE COP TP 05 AXE COP GETS MARRIED",,"11.50",,,"DARK HORSE"
"348/0175","AXE COP TP 06 AMERICAN CHOPPERS",,"9.99",,,"DARK HORSE"
"348/0176","BIG GUY & RUSTY THE BOY ROBOT TP",,"11.50",,,"DARK HORSE"
"348/0177","BTVS ADULT COLORING BOOK TP",,"12.99",,,"DARK HORSE"
"348/0178","BTVS AUTUMNAL TP",,"7.40",,,"DARK HORSE"
"348/0179","BTVS BAD BLOOD TP",,"7.40",,,"DARK HORSE"
"348/0180","BTVS CRASH TEST DEMONS TP",,"7.40",,,"DARK HORSE"
"348/0181","BTVS DUST WALTZ TP",,"7.40",,,"DARK HORSE"
"348/0182","BTVS OUT OF THE WOODWORK TP",,"9.99",,,"DARK HORSE"
"348/0183","BTVS PALE REFLECTIONS TP (MR)",,"7.40",,,"DARK HORSE"
"348/0184","BTVS PAST LIVES TP",,"9.99",,,"DARK HORSE"
"348/0185","BTVS RING OF FIRE GN",,"7.40",,,"DARK HORSE"
"348/0186","BTVS SEASON 10 TP 01",,"13.75",,,"DARK HORSE"
"348/0187","BTVS SEASON 10 TP 03 LOVE DARES YOU",,"13.75",,,"DARK HORSE"
"348/0188","BTVS SEASON 10 TP 04 OLD DEMONS",,"13.75",,,"DARK HORSE"
"348/0189","BTVS SEASON 10 TP 05 PIECES ON THE GROUND",,"13.75",,,"DARK HORSE"
"348/0190","BTVS SEASON 8 LIBRARY HC 01 LONG WAY HOME",,"20.75",,,"DARK HORSE"
"348/0191","BTVS SEASON 8 LIBRARY HC 02 WOLVES AT GATE",,"20.75",,,"DARK HORSE"
"348/0192","BTVS SEASON 8 LIBRARY HC 03",,"20.75",,,"DARK HORSE"
"348/0193","BTVS SEASON 8 LIBRARY HC 04",,"20.75",,,"DARK HORSE"
"348/0194","BTVS SEASON 8 TP 02 NO FUTURE FOR YOU",,"11.99",,,"DARK HORSE"
"348/0195","BTVS SEASON 8 TP 03 WOLVES AT THE GATE",,"11.99",,,"DARK HORSE"
"348/0196","BTVS SEASON 8 TP 04 TIME OF YOUR LIFE",,"11.99",,,"DARK HORSE"
"348/0197","BTVS SEASON 8 TP 07 TWILIGHT (MR)",,"12.50",,,"DARK HORSE"
"348/0198","BTVS SEASON 9 LIBRARY HC 01",,"20.75",,,"DARK HORSE"
"348/0199","BTVS SEASON 9 LIBRARY HC 02",,"20.75",,,"DARK HORSE"
"348/0200","BTVS SEASON 9 LIBRARY HC 03",,"20.75",,,"DARK HORSE"
"348/0201","BTVS SEASON 9 TP 01 FREEFALL",,"12.99",,,"DARK HORSE"
"348/0202","BTVS SEASON 9 TP 03 GUARDED",,"12.99",,,"DARK HORSE"
"348/0203","BTVS SEASON 9 TP 04 WELCOME TO TEAM",,"12.99",,,"DARK HORSE"
"348/0204","BTVS SEASON 9 TP 05 THE CORE",,"12.99",,,"DARK HORSE"
"348/0205","BTVS SPIKE INTO LIGHT HC",,"11.50",,,"DARK HORSE"
"348/0206","BTVS SPIKE TP 01 DARK PLACE",,"12.99",,,"DARK HORSE"
"348/0207","BTVS THE BLOOD OF CARTHAGE TP",,"9.99",,,"DARK HORSE"
"348/0208","BTVS THE DEATH OF BUFFY TP",,"11.99",,,"DARK HORSE"
"348/0209","BTVS UNINVITED GUESTS TP",,"8.25",,,"DARK HORSE"
"348/0210","BUFFY THE VAMPIRE SLAYER OMNIBUS TP 04",,"18.25",,,"DARK HORSE"
"348/0211","BUFFY THE VAMPIRE SLAYER OMNIBUS TP 05",,"18.25",,,"DARK HORSE"
"348/0212","BUFFY THE VAMPIRE SLAYER OMNIBUS TP 06",,"18.25",,,"DARK HORSE"
"348/0213","BUFFY THE VAMPIRE SLAYER OMNIBUS TP 07",,"18.25",,,"DARK HORSE"
"348/0214","DARK MATTER TP 01 REBIRTH",,"11.50",,,"DARK HORSE"
"348/0215","DOLLHOUSE EPITAPHS TP 01",,"13.75",,,"DARK HORSE"
"348/0216","DR HORRIBLE TP",,"7.40",,,"DARK HORSE"
"348/0217","FALLING SKIES GN 01",,"7.40",,,"DARK HORSE"
"348/0218","FALLING SKIES GN 02",,"7.40",,,"DARK HORSE"
"348/0219","GUILD LIBRARY EDITION HC 01",,"33.75",,,"DARK HORSE"
"348/0221","HE-MAN & MASTERS OF UNIVERSE NEWSPAPER STRIPS HC ",,"20.75",,,"DARK HORSE"
"348/0222","HUSBANDS HC (MR)",,"11.50",,,"DARK HORSE"
"348/0223","STAR TREK NEXT GEN ADULT COLORING BK TP",,"12.99",,,"DARK HORSE"
"348/0224","STAR TREK ORIG SERIES ADULT COLORING BK TP",,"12.99",,,"DARK HORSE"
"348/0225","STRAIN HC 01 (MR)",,"20.75",,,"DARK HORSE"
"348/0226","STRAIN HC 02 THE FALL (MR)",,"20.75",,,"DARK HORSE"
"348/0227","STRAIN HC 03 NIGHT ETERNAL (MR)",,"20.75",,,"DARK HORSE"
"348/0228","STRAIN MISTER QUINLAN VAMPIRE HUNTER TP (MR)",,"14.50",,,"DARK HORSE"
"348/0229","STRAIN TP 01 (MR)",,"14.50",,,"DARK HORSE"
"348/0230","STRAIN TP 02 (MR)",,"14.50",,,"DARK HORSE"
"348/0231","STRAIN TP 03 THE FALL (MR)",,"14.50",,,"DARK HORSE"
"348/0232","STRAIN TP 04 THE FALL (MR)",,"14.50",,,"DARK HORSE"
"348/0233","STRAIN TP 05 NIGHT ETERNAL (MR)",,"14.50",,,"DARK HORSE"
"348/0234","STRAIN TP 06 NIGHT ETERNAL (MR)",,"14.50",,,"DARK HORSE"
"348/0235","HALO UNSC INFINITY 9 INCH REPLICA",,"38.38",,,"DARK HORSE"
"348/0236","HALO UNSC PELICAN DROPSHIP 6 INCH REPLICA",,"30.71",,,"DARK HORSE"
"348/0237","HALO 5 COVENANT BANSHEE SHIP REPLICA",,"30.71",,,"DARK HORSE"
"348/0238","HALO 5 UNSC PROWLER SHIP REPLICA",,"30.71",,,"DARK HORSE"
"348/0239","HALO 5 FORERUNNER PHAETON SHIP REPLICA",,"30.71",,,"DARK HORSE"
"348/0240","HALO UNSC PILLAR OF AUTUMN SHIP REPLICA",,"38.38",,,"DARK HORSE"
"348/0241","HALO UNSC VULTURE SHIP REPLICA LTD ED",,"45.20",,,"DARK HORSE"
"348/0242","HALO UNSC SPIRIT OF FIRE SHIP REPLICA",,"38.38",,,"DARK HORSE"
"348/0243","HALO COVENANT TRUTH & RECONCILIATION 7 INCH SHIP REPLICA",,"30.71",,,"DARK HORSE"
"348/0245","DOOMSDAY CLOCK #1 (OF 12)",,"3.70",,,"DC COMICS"
"348/0246","DOOMSDAY CLOCK #1 (OF 12) FRANK VAR ED",,"3.70",,,"DC COMICS"
"348/0247","DOOMSDAY CLOCK #1 (OF 12) LENTICULAR VAR ED",,"4.40",,,"DC COMICS"
"348/0248","DARK NIGHTS METAL #4 (OF 6)",,"2.95",,,"DC COMICS"
"348/0249","DARK NIGHTS METAL #4 (OF 6) KUBERT VAR ED",,"2.95",,,"DC COMICS"
"348/0250","DARK NIGHTS METAL #4 (OF 6) LEE VAR ED",,"2.95",,,"DC COMICS"
"348/0251","DARK NIGHTS METAL #4 (OF 6) ROMITA VAR ED",,"2.95",,,"DC COMICS"
"348/0252","DARK NIGHTS METAL #1 DIRECTORS CUT",,"5.15",,,"DC COMICS"
"348/0253","HAWKMAN FOUND #1",,"2.95",,,"DC COMICS"
"348/0254","HAWKMAN FOUND #1 VAR ED",,"2.95",,,"DC COMICS"
"348/0255","BATMAN AND THE SIGNAL #1 (OF 3)",,"2.95",,,"DC COMICS"
"348/0256","BATMAN AND THE SIGNAL #1 (OF 3) VAR ED",,"2.95",,,"DC COMICS"
"348/0257","JUSTICE LEAGUE #32",,"2.20",,,"DC COMICS"
"348/0258","JUSTICE LEAGUE #32 VAR ED",,"2.20",,,"DC COMICS"
"348/0259","HAL JORDAN AND THE GREEN LANTERN CORPS #32",,"2.20",,,"DC COMICS"
"348/0260","HAL JORDAN AND THE GREEN LANTERN CORPS #32 VAR ED",,"2.20",,,"DC COMICS"
"348/0261","JUSTICE LEAGUE #33",,"2.20",,,"DC COMICS"
"348/0262","JUSTICE LEAGUE #33 VAR ED",,"2.20",,,"DC COMICS"
"348/0263","HAL JORDAN AND THE GREEN LANTERN CORPS #33 VAR ED",,"2.20",,,"DC COMICS"
"348/0264","HAL JORDAN AND THE GREEN LANTERN CORPS #33",,"2.20",,,"DC COMICS"
"348/0265","ACTION COMICS #992",,"2.20",,,"DC COMICS"
"348/0266","ACTION COMICS #992 VAR ED",,"2.20",,,"DC COMICS"
"348/0267","AQUAMAN #30",,"2.95",,,"DC COMICS"
"348/0268","AQUAMAN #30 VAR ED",,"2.95",,,"DC COMICS"
"348/0269","AQUAMAN ANNUAL #1",,"3.70",,,"DC COMICS"
