"340/0035","FCBD 2017 CATALYST PRIME THE EVENT",,"£0.31","£0.26",,,"LION"
"340/0036","FCBD 2017 GUARDIANS OF THE GALAXY #1",,"£0.31","£0.26",,,"MARVEL COMICS"
"340/0037","FCBD 2017 THE TICK",,"£0.37","£0.31",,,"NEW ENGLAND COMICS"
"340/0038","FCBD 2017 HILDAS BACK",,"£0.37","£0.31",,,"CONSORTIUM BOOK SALES"
"340/0039","FCBD 2017 BAD MACHINERY",,"£0.34","£0.28",,,"ONI PRESS INC."
"340/0040","FCBD 2017 BARBIE",,"£0.36","£0.30",,,"NBM"
"340/0041","FCBD 2017 LOUD HOUSE",,"£0.36","£0.30",,,"NBM"
"340/0042","FCBD 2017 2000 AD SPECIAL (UK ITEM - NET)",,"£0.30","£0.25",,,"UK ITEMS"
"340/0043","FCBD 2017 KEYSER SOZE THE RIFT",,"£0.36","£0.30",,,"RED 5 COMICS"
"340/0044","FCBD 2017 MONSTER HIGH",,"£0.36","£0.30",,,"TITAN COMICS"
"340/0046","FCBD 2017 STREET FIGHTER V WRESTLING SPECIAL",,"£0.36","£0.30",,,"UDON ENTERTAINMENT INC"
"340/0047","FCBD 2017 VIZ DRAGON BALL SUPER AND BORUTO",,"£0.35","£0.29",,,"VIZ MEDIA LLC"
"340/0048","FCBD 2017 MALIKA WARRIOR QUEEN",,"£0.31","£0.26",,,"YOUNEEK STUDIOS"
"340/0049","FCBD 2017 BALLAD OF FRANKLIN BONISTEEL",,"£0.31","£0.26",,,"Z2 COMICS"
"340/0050","FCBD 2017 GRIMM FAIRY TALES #1",,"£0.36","£0.30",,,"ZENESCOPE ENTERTAINMENT INC"
"340/0051","FCBD 2017 DEFEND COMICS",,"£0.31","£0.26",,,"COMIC BOOK LEGAL DEFENSE FUND"
"340/0052","FCBD 2017 OVERSTREET GUIDE TO COLLECTING",,"£0.34","£0.28",,,"GEMSTONE PUBLISHING"
"340/0053","FCBD DC LIL BOMBSHELLS WONDER WOMAN 75TH ANN VINYL FIG",,"£5.67","£4.32",,,"MERCHANDISE"
"340/0054","FCBD 2017 POP MARVEL IRON FIST PX VIN FIG WHITE COSTUME VER ",,"£12.85","£9.79",,,"MERCHANDISE"
"340/0055","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S SM",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0056","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S MED",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0057","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S LG",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0058","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S XL",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0059","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S XXL",,"£16.07","£12.24",,,"MERCHANDISE"
"340/0060","FCBD 2017 COMM ARTIST HARTMAN BLACK T/S XXXL",,"£16.07","£12.24",,,"MERCHANDISE"
"340/0061","FCBD 2017 COMM ARTIST HARTMAN RED T/S SM",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0062","FCBD 2017 COMM ARTIST HARTMAN RED T/S MED",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0063","FCBD 2017 COMM ARTIST HARTMAN RED T/S LG",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0064","FCBD 2017 COMM ARTIST HARTMAN RED T/S XL",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0065","FCBD 2017 COMM ARTIST HARTMAN RED T/S XXL",,"£16.07","£12.24",,,"MERCHANDISE"
"340/0066","FCBD 2017 COMM ARTIST HARTMAN RED T/S XXXL",,"£16.07","£12.24",,,"MERCHANDISE"
"340/0067","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK XS",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0068","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK SM",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0069","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK MED",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0070","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK LG",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0071","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK XL",,"£15.36","£11.70",,,"MERCHANDISE"
"340/0072","FCBD 2017 COMM ARTIST HARTMAN WOMEN BLACK XXL",,"£15.36","£11.70",,,"MERCHANDISE"
"340/0073","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED XS",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0074","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED SM",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0075","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED MED",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0076","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED LG",,"£12.99","£9.90",,,"MERCHANDISE"
"340/0077","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED XL",,"£15.36","£11.70",,,"MERCHANDISE"
"340/0078","FCBD 2017 COMM ARTIST HARTMAN WOMEN RED XXL",,"£15.36","£11.70",,,"MERCHANDISE"
"340/0079","FCBD 2017 COMM ARTIST HARTMAN BLACK YOUTH T/S SM",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0080","FCBD 2017 COMM ARTIST HARTMAN BLACK YOUTH T/S MED",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0081","FCBD 2017 COMM ARTIST HARTMAN BLACK YOUTH T/S LG",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0082","FCBD 2017 COMM ARTIST HARTMAN RED YOUTH T/S SM",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0083","FCBD 2017 COMM ARTIST HARTMAN RED YOUTH T/S MED",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0084","FCBD 2017 COMM ARTIST HARTMAN RED YOUTH T/S LG",,"£10.40","£7.92",,,"MERCHANDISE"
"340/0085","FCBD 2017 COMM ARTIST RICHARDSON POSTER",,"£7.88","£6.00",,,"MERCHANDISE"
"340/0086","FCBD 2017 BLUE WRIST BAND",,"£1.09","£0.83",,,"MERCHANDISE"
"340/0087","FCBD 2017 BETTY AND VERONICA #1",,"£0.31","£0.26",,,"ARCHIE COMIC PUBLICATIONS"
"340/0088","FCBD 2017 BONGO COMICS FREE-FOR-ALL",,"£0.31","£0.26",,,"BONGO COMICS"
"340/0089","FCBD 2017 BOOM STUDIOS SUMMER BLAST",,"£0.31","£0.26",,,"BOOM! STUDIOS"
"340/0090","FCBD 2017 DARK HORSE BRIGGS LAND JAMES CAMERON AVATAR (MR)",,"£0.31","£0.26",,,"DARK HORSE"
"340/0094","GAME TRADE MAGAZINE #205",,"£0.75","£0.50",,,"DIAMOND PUBLICATIONS"
"340/0099","HELLBOY AND BPRD 1954 GHOST MOON #1",,"£2.95","£2.03",,,"DARK HORSE"
"340/0100","HELLBOY AND THE BPRD 1952 TP",,"£14.50","£11.70",,,"DARK HORSE"
"340/0101","HELLBOY AND THE BPRD 1953 TP",,"£14.50","£11.70",,,"DARK HORSE"
"340/0102","LOBSTER JOHNSON PIRATES GHOST #1",,"£2.95","£2.03",,,"DARK HORSE"
"340/0103","LOBSTER JOHNSON TP 01 IRON PROMETHEUS (NEW PRINT)",,"£12.99","£10.40",,,"DARK HORSE"
"340/0104","LOBSTER JOHNSON TP 03 SATAN SMELLS A RAT",,"£13.75","£11.05",,,"DARK HORSE"
"340/0105","BALTIMORE THE RED KINGDOM #2",,"£2.95","£2.03",,,"DARK HORSE"
"340/0106","VISITOR HOW AND WHY HE STAYED #2 (OF 5)",,"£2.95","£2.03",,,"DARK HORSE"
"340/0107","RISE OF BLACK FLAME TP","Our price","£13.04","£11.70","Reduced from","£17.99","DARK HORSE"
"340/0108","SHADOWS ON THE GRAVE #3",,"£2.95","£2.03",,,"DARK HORSE"
"340/0109","RAT GOD HC",,"£14.50","£11.70",,,"DARK HORSE"
"340/0110","EDGAR ALLAN POE SPIRITS OF DEAD HC",,"£18.25","£14.95",,,"DARK HORSE"
"340/0111","HARROW COUNTY #21",,"£2.95","£2.03",,,"DARK HORSE"
"340/0112","HARROW COUNTY TP 01 COUNTLESS HAINTS",,"£11.50","£9.10",,,"DARK HORSE"
"340/0113","HARROW COUNTY TP 02 TWICE TOLD",,"£11.50","£9.10",,,"DARK HORSE"
"340/0114","HARROW COUNTY TP 03 SNAKE DOCTOR",,"£11.50","£9.10",,,"DARK HORSE"
"340/0115","HARROW COUNTY TP 05 ABANDONED","Our price","£10.14","£9.10","Reduced from","£13.99","DARK HORSE"
"340/0116","DEAD INSIDE #4 (OF 5)",,"£2.95","£2.03",,,"DARK HORSE"
"340/0117","STRAIN MISTER QUINLAN VAMPIRE HUNTER TP (MR)","Our price","£13.04","£11.70","Reduced from","£17.99","DARK HORSE"
"340/0118","ANGEL SEASON 11 #3 MAIN FISCHER COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0119","ANGEL SEASON 11 #3 VARIANT DEKAL COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0120","BTVS SEASON 11 #5 MAIN MORRIS COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0121","BTVS SEASON 11 #5 VARIANT JEANTY COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0122","SERENITY NO POWER IN THE VERSE #6 (OF 6) MAIN DOS SANTOS COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0123","SERENITY NO POWER IN THE VERSE #6 (OF 6) VARIANT JEANTY COVER",,"£2.95","£2.03",,,"DARK HORSE"
"340/0124","SERENITY HC 01 THOSE LEFT BEHIND 2ND ED",,"£12.99","£10.40",,,"DARK HORSE"
"340/0125","SERENITY HC 02 BETTER DAYS AND OTHER STORIES",,"£14.50","£11.70",,,"DARK HORSE"
"340/0126","SERENITY HC 03 SHEPHERDS TALE",,"£11.50","£9.10",,,"DARK HORSE"
"340/0127","SERENITY HC 04 LEAVES ON WIND",,"£14.50","£11.70",,,"DARK HORSE"
"340/0128","REBELS THESE FREE AND INDEPENDENT STATES #1",,"£2.95","£2.03",,,"DARK HORSE"
"340/0129","REBELS TP 01 WELL REGULATED MILITIA",,"£18.25","£14.95",,,"DARK HORSE"
"340/0130","BLACK HAMMER #7 ORMSTON MAIN",,"£2.95","£2.03",,,"DARK HORSE"
"340/0131","BLACK HAMMER #7 LEMIRE VAR",,"£2.95","£2.03",,,"DARK HORSE"
"340/0132","DARK HORSE PRESENTS #32",,"£3.70","£2.53",,,"DARK HORSE"
"340/0133","ONCE AND FUTURE QUEEN #1",,"£2.95","£2.03",,,"DARK HORSE"
"340/0134","DEPT H #12",,"£2.95","£2.03",,,"DARK HORSE"
"340/0135","ETHER #5",,"£2.95","£2.03",,,"DARK HORSE"
"340/0136","EMPOWERED SOLDIER OF LOVE #2",,"£2.95","£2.03",,,"DARK HORSE"
"340/0137","SLAYER REPENTLESS #3 (OF 3)",,"£3.70","£2.53",,,"DARK HORSE"
"340/0138","MISTER X ARCHIVES TP","Our price","£16.67","£14.95","Reduced from","£22.99","DARK HORSE"
"340/0139","JERRY AND JOKER ADVENTURES AND COMIC ART HC","Our price","£23.19","£20.79","Reduced from","£31.99","DARK HORSE"
"340/0140","STARSLAYER TP LOG OF JOLLYROGER","Our price","£16.67","£14.95","Reduced from","£22.99","DARK HORSE"
"340/0141","GROO FRIENDS AND FOES HC","Our price","£32.62","£29.25","Reduced from","£44.99","DARK HORSE"
"340/0142","GROO FRIENDS AND FOES TP 01",,"£11.50","£9.10",,,"DARK HORSE"
"340/0143","GROO FRIENDS AND FOES TP 02",,"£11.50","£9.10",,,"DARK HORSE"
"340/0144","GROO FRIENDS AND FOES TP 03",,"£11.50","£9.10",,,"DARK HORSE"
"340/0145","HE-MAN MASTERS UNIVERSE HC CHARACTER GUIDE WORLD ","Our price","£32.62","£29.25","Reduced from","£44.99","DARK HORSE"
"340/0146","HE MAN AND SHE-RA COMPLETE GUIDE CLASSIC ANIMATED ADV HC","Our price","£26.02","£23.40","Reduced from","£35.99","DARK HORSE"
"340/0148","ALIENS DEFIANCE #11",,"£2.95","£2.03",,,"DARK HORSE"
"340/0149","ALIENS VS PREDATOR LIFE AND DEATH #4",,"£2.95","£2.03",,,"DARK HORSE"
"340/0150","CONAN THE SLAYER #9",,"£2.95","£2.03",,,"DARK HORSE"
"340/0151","CONAN TP 02 GOD IN BOWL AND OTHER STORIES",,"£11.99","£9.43",,,"DARK HORSE"
"340/0152","CONAN TP 03 TOWER OF ELEPHANT",,"£11.99","£9.43",,,"DARK HORSE"
"340/0153","CONAN TP 05 ROGUES IN THE HOUSE",,"£12.99","£10.40",,,"DARK HORSE"
"340/0154","CONAN TP 08 BLACK COLOSSUS",,"£12.99","£10.40",,,"DARK HORSE"
"340/0155","CONAN TP 09 FREE COMPANIONS",,"£12.99","£10.40",,,"DARK HORSE"
"340/0156","CONAN TP 10 IRON SHADOWS IN THE MOON",,"£12.99","£10.40",,,"DARK HORSE"
"340/0157","CONAN TP 11 ROAD OF KINGS",,"£14.50","£11.70",,,"DARK HORSE"
"340/0158","CONAN TP 12 THRONE OF AQUILONIA",,"£14.50","£11.70",,,"DARK HORSE"
"340/0159","CONAN TP 13 QUEEN OF BLACK COAST",,"£14.50","£11.70",,,"DARK HORSE"
"340/0160","CONAN TP 14 THE DEATH",,"£14.50","£11.70",,,"DARK HORSE"
"340/0161","CONAN TP 15 NIGHTMARE OF SHALLOWS",,"£14.50","£11.70",,,"DARK HORSE"
"340/0162","CONAN TP 16 THE SONG OF BELIT",,"£14.50","£11.70",,,"DARK HORSE"
"340/0163","CONAN TP 17 SHADOWS OVER KUSH",,"£14.50","£11.70",,,"DARK HORSE"
"340/0164","CONAN TP 18 DAMNED HORDE",,"£14.50","£11.70",,,"DARK HORSE"
"340/0165","ELFQUEST FINAL QUEST #19",,"£2.95","£2.03",,,"DARK HORSE"
"340/0166","TARZAN ON PLANET OF APES TP","Our price","£13.04","£11.70","Reduced from","£17.99","DARK HORSE"
"340/0167","WITCHER TP 03 CURSE OF CROWS","Our price","£11.59","£10.40","Reduced from","£15.99","DARK HORSE"
"340/0168","TOMB RAIDER 2016 TP 02 CHOICE AND SACRIFICE","Our price","£13.04","£11.70","Reduced from","£17.99","DARK HORSE"
"340/0169","TOMB RAIDER ARCHIVES HC 01",,"£27.00","£23.40",,,"DARK HORSE"
"340/0170","NGE LEGEND PIKO PIKO MIDDLE SCHOOL STUDENTS TP 01","Our price","£7.97","£7.15","Reduced from","£10.99","DARK HORSE"
"340/0171","HATSUNE MIKU RIN-CHAN NOW TP 02","Our price","£7.24","£6.50","Reduced from","£9.99","DARK HORSE"
"340/0172","HATSUNE MIKU UNOFFICIAL HATSUNE MIX TP",,"£14.50","£11.70",,,"DARK HORSE"
"340/0173","PSYCHO PASS INSPECTOR SHINYA KOGAMI TP 02","Our price","£7.97","£7.15","Reduced from","£10.99","DARK HORSE"
"340/0174","PSYCHO PASS INSPECTOR SHINYA KOGAMI TP 01",,"£8.99","£7.15",,,"DARK HORSE"
"340/0175","MASS EFFECT ANDROMEDA TEMPEST SHIP REPLICA",,"£35.82","£27.29",,,"DARK HORSE"
"340/0177","MASS EFFECT ANDROMEDA APEX EMBROIDERED PATCH",,"£4.69","£3.58",,,"DARK HORSE"
"340/0178","MASS EFFECT ANDROMEDA APEX FORCE EMBROIDERED PATCH",,"£4.69","£3.58",,,"DARK HORSE"
"340/0179","MASS EFFECT ANDROMEDA PATHFINDER EMBROIDERED PATCH",,"£4.69","£3.58",,,"DARK HORSE"
"340/0180","MASS EFFECT ANDROMEDA TEMPEST EMBROIDERED PATCH ",,"£4.69","£3.58",,,"DARK HORSE"
"340/0181","HALO COVENANT TRUTH AND RECONCILIATION 7 INCH SHIP REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0182","HALO UNSC INFINITY 9 INCH REPLICA",,"£38.38","£29.24",,,"DARK HORSE"
"340/0183","HALO UNSC PELICAN DROPSHIP 6 INCH REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0184","HALO UNSC PILLAR OF AUTUMN SHIP REPLICA",,"£38.38","£29.24",,,"DARK HORSE"
"340/0185","HALO 5 COVENANT BANSHEE SHIP REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0186","HALO 5 FORERUNNER PHAETON SHIP REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0187","HALO 5 UNSC PROWLER SHIP REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0188","MASS EFFECT ALLIANCE CRUISER SHIP REPLICA",,"£34.11","£25.99",,,"DARK HORSE"
"340/0189","MASS EFFECT ALLIANCE CRUISER SILVER LTD SHIP REPLICA",,"£38.38","£29.24",,,"DARK HORSE"
"340/0190","MASS EFFECT ALLIANCE SHUTTLE REPLICA",,"£30.71","£23.40",,,"DARK HORSE"
"340/0191","MASS EFFECT SR2 NORMANDY SHIP REPLICA",,"£27.29","£20.80",,,"DARK HORSE"
"340/0192","MASS EFFECT ALLIANCE NORMANDY SR1 SHIP REPLICA",,"£27.29","£20.80",,,"DARK HORSE"
"340/0193","MASS EFFECT NORMANDY SR2 CERBERUS SHIP REPLICA",,"£27.29","£20.80",,,"DARK HORSE"
"340/0194","MASS EFFECT TP 01 REDEMPTION",,"£12.50","£9.74",,,"DARK HORSE"
"340/0195","MASS EFFECT TP 02 EVOLUTION",,"£12.50","£9.74",,,"DARK HORSE"
"340/0196","MASS EFFECT TP 03 INVASION",,"£12.50","£9.74",,,"DARK HORSE"
"340/0197","MASS EFFECT TP 04 HOMEWORLDS",,"£12.50","£9.74",,,"DARK HORSE"
"340/0198","MASS EFFECT LIBRARY EDITION HC 01",,"£40.50","£35.10",,,"DARK HORSE"
"340/0199","ART OF THE MASS EFFECT UNIVERSE HC",,"£27.00","£23.40",,,"DARK HORSE"
"340/0200","MASS EFFECT PLAYING CARDS",,"£4.69","£3.58",,,"DARK HORSE"
"340/0201","MASS EFFECT TP POSTER COLLECTION",,"£18.25","£14.95",,,"DARK HORSE"
"340/0202","CREATURES OF THE NIGHT HC (2ND ED)",,"£9.99","£7.80",,,"DARK HORSE"
"340/0203","NEIL GAIMANS TROLL BRIDGE HC",,"£10.75","£8.45",,,"DARK HORSE"
"340/0204","NEIL GAIMANS HOW TO TALK TO GIRLS AT PARTIES HC ",,"£10.75","£8.45",,,"DARK HORSE"
"340/0205","FACTS IN CASE OF DEPARTURE OF MISS FINCH HC",,"£10.75","£8.45",,,"DARK HORSE"
"340/0206","WILL EISNERS SPIRIT NEW ADVENTURES HC 2ND ED",,"£18.25","£14.95",,,"DARK HORSE"
"340/0207","MURDER MYSTERIES AND OTHER STORIES HC GALLERY EDITION",,"£82.50","£71.50",,,"DARK HORSE"
"340/0208","MURDER MYSTERIES HC 2ND ED",,"£14.50","£11.70",,,"DARK HORSE"
"340/0209","SIGNAL TO NOISE HC",,"£18.25","£14.95",,,"DARK HORSE"
"340/0210","ODDLY COMPELLING ART OF DENIS KITCHEN HC",,"£23.99","£20.79",,,"DARK HORSE"
"340/0211","HARLEQUIN VALENTINE HC",,"£9.99","£7.80",,,"DARK HORSE"
"340/0212","STRAIN HC 01 (MR)",,"£20.75","£17.55",,,"DARK HORSE"
"340/0213","STRAIN HC 02 THE FALL (MR)",,"£20.75","£17.55",,,"DARK HORSE"
"340/0214","STRAIN HC 03 NIGHT ETERNAL (MR)",,"£20.75","£17.55",,,"DARK HORSE"
"340/0215","WITCHER 3 WILD HUNT FIGURE GERALT",,"£25.58","£19.49",,,"DARK HORSE"
"340/0216","WITCHER 3 WILD HUNT FIGURE EREDIN",,"£25.58","£19.49",,,"DARK HORSE"
"340/0217","WITCHER 3 WILD HUNT FIGURE CIRI",,"£25.58","£19.49",,,"DARK HORSE"
"340/0218","WITCHER 3 WILD HUNT FIGURE YENNEFER",,"£25.58","£19.49",,,"DARK HORSE"
"340/0219","WITCHER 3 WILD HUNT FIGURE TRISS",,"£25.58","£19.49",,,"DARK HORSE"
"340/0220","SUPERMAN #18",,"£2.20","£1.53",,,"DC COMICS"
"340/0221","SUPERMAN #18 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0222","ACTION COMICS #975",,"£2.95","£2.03",,,"DC COMICS"
"340/0223","ACTION COMICS #975 VARIANT ED",,"£2.95","£2.03",,,"DC COMICS"
"340/0224","SUPERMAN #19",,"£2.20","£1.53",,,"DC COMICS"
"340/0225","SUPERMAN #19 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0226","ACTION COMICS #976",,"£2.20","£1.53",,,"DC COMICS"
"340/0227","ACTION COMICS #976 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0228","ALL STAR BATMAN #8",,"£3.70","£2.53",,,"DC COMICS"
"340/0229","ALL STAR BATMAN #8 CAMUNCOLI VARIANT ED",,"£3.70","£2.53",,,"DC COMICS"
"340/0230","ALL STAR BATMAN #8 FRANCAVILLA VARIANT ED",,"£3.70","£2.53",,,"DC COMICS"
"340/0231","AQUAMAN #18",,"£2.20","£1.53",,,"DC COMICS"
"340/0232","AQUAMAN #18 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0233","AQUAMAN #19",,"£2.20","£1.53",,,"DC COMICS"
"340/0234","AQUAMAN #19 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0235","BATMAN BEYOND #6",,"£2.20","£1.53",,,"DC COMICS"
"340/0236","BATMAN BEYOND #6 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0237","BATMAN #18",,"£2.20","£1.53",,,"DC COMICS"
"340/0238","BATMAN #18 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0239","BATMAN #19",,"£2.20","£1.53",,,"DC COMICS"
"340/0240","BATMAN #19 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0241","BATGIRL #9",,"£2.20","£1.53",,,"DC COMICS"
"340/0242","BATGIRL #9 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0243","BATGIRL ANNUAL #1",,"£3.70","£2.53",,,"DC COMICS"
"340/0244","BATGIRL AND THE BIRDS OF PREY #8",,"£2.20","£1.53",,,"DC COMICS"
"340/0245","BATGIRL AND THE BIRDS OF PREY #8 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0246","BATWOMAN #1",,"£2.20","£1.53",,,"DC COMICS"
"340/0247","BATWOMAN #1 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0248","BATWOMAN #1 BLANK VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0249","BLUE BEETLE #7",,"£2.20","£1.53",,,"DC COMICS"
"340/0250","BLUE BEETLE #7 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0251","CYBORG #10",,"£2.20","£1.53",,,"DC COMICS"
"340/0252","CYBORG #10 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0253","DEATHSTROKE #14",,"£2.20","£1.53",,,"DC COMICS"
"340/0254","DEATHSTROKE #14 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0255","DEATHSTROKE #15",,"£2.20","£1.53",,,"DC COMICS"
"340/0256","DEATHSTROKE #15 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0257","DETECTIVE COMICS #952",,"£2.20","£1.53",,,"DC COMICS"
"340/0258","DETECTIVE COMICS #952 VARIANT ED",,"£2.20","£1.53",,,"DC COMICS"
"340/0259","DETECTIVE COMICS #953",,"£2.20","£1.53",,,"DC COMICS"
