"340/0001","PREVIEWS #342 MARCH 2017 ONLY",,"£2.50","£2.59",,,"DIAMOND PUBLICATIONS"
"340/0002","MARVEL PREVIEWS #20 MARCH 2017",,"£0.75","£0.65",,,"MARVEL COMICS"
"340/0003","PREVIEWS AND MARVEL PREVIEWS #342 MARCH 2017",,"£2.50","£0.24",,,"DIAMOND PUBLICATIONS"
"340/0004","PREVIEWS #341 FEB 2017 CUSTOMER ORDER FORM",,"£0.00","£0.20",,,"DIAMOND PUBLICATIONS"
"340/0005","FCBD 2017 DC COMICS GOLD BOOK",,"£0.31","£0.26",,,"DC COMICS"
"340/0006","FCBD 2017 STAR TREK TNG MIRROR BROKEN",,"£0.31","£0.26",,,"IDW PUBLISHING"
"340/0007","FCBD 2017 I HATE IMAGE (MR)",,"£0.31","£0.26",,,"IMAGE COMICS"
"340/0008","FCBD 2017 SECRET EMPIRE #1",,"£0.31","£0.26",,,"MARVEL COMICS"
"340/0009","FCBD 2017 RICK AND MORTY",,"£0.31","£0.26",,,"ONI PRESS INC."
"340/0010","FCBD 2017 DOCTOR WHO",,"£0.31","£0.26",,,"TITAN COMICS"
"340/0011","FCBD 2017 XO MANOWAR SPECIAL",,"£0.31","£0.26",,,"VALIANT ENTERTAINMENT LLC"
"340/0012","FCBD 2017 VIZ LEGEND ZELDA TWILIGHT PRINCESS OCARINA TIME",,"£0.31","£0.26",,,"VIZ MEDIA LLC"
"340/0013","FCBD 2017 MIRACULOUS ILLUS TALES LADY BUG AND CAT NOIR",,"£0.23","£0.19",,,"ACTION LAB ENTERTAINMENT"
"340/0014","FCBD 2017 UNDERDOG",,"£0.34","£0.28",,,"AMERICAN MYTHOLOGY PRODUCTIONS"
"340/0015","FCBD 2017 STEAM WARS STRIKE LEADER",,"£0.34","£0.28",,,"ANTARCTIC PRESS"
"340/0016","FCBD 2017 SONIC GENESIS OF A HERO",,"£0.31","£0.26",,,"ARCHIE COMIC PUBLICATIONS"
"340/0017","FCBD 2017 LOOKING GLASS WARS CROSSFIRE",,"£0.31","£0.26",,,"AUTOMATIC PICTURES"
"340/0018","FCBD 2017 LADY MECHANIKA",,"£0.26","£0.22",,,"BENITEZ PRODUCTIONS"
"340/0019","FCBD 2017 SPONGEBOB FREESTYLE FUNNIES",,"£0.31","£0.26",,,"UNITED PLANKTON PICTURES"
"340/0020","FCBD 2017 BOOM FRESH OFF THE BOAT",,"£0.31","£0.26",,,"BOOM! STUDIOS"
"340/0021","FCBD 2017 CHAPTERHOUSE CAPTAIN CANUCK",,"£0.41","£0.34",,,"CHAPTERHOUSE COMICS"
"340/0022","FCBD 2017 DARK HORSE ALL AGES BUFFY HIGH SCHOOL AND PVZ",,"£0.35","£0.29",,,"DARK HORSE"
"340/0023","FCBD 2017 DC COMICS SILVER BOOK",,"£0.31","£0.26",,,"DC COMICS"
"340/0024","FCBD 2017 COLORFUL MONSTERS",,"£0.41","£0.34",,,"DRAWN & QUARTERLY"
"340/0025","FCBD 2017 GUY DELISLE AND FINDAKLY TRONDHEIM",,"£0.36","£0.30",,,"DRAWN & QUARTERLY"
"340/0026","FCBD 2017 ANIMAL JAM",,"£0.35","£0.29",,,"DYNAMIC FORCES"
"340/0027","FCBD 2017 TEX PATAGONIA",,"£0.35","£0.29",,,"EPICENTER COMICS"
"340/0028","FCBD 2017 FANTAGRAPHICS WORLDS GREATEST (MR)",,"£0.36","£0.30",,,"FANTAGRAPHICS BOOKS"
"340/0029","FCBD 2017 SPILL NIGHT",,"£0.31","£0.26",,,"ST. MARTINS PRESS"
"340/0030","FCBD 2017 GRAPHIX SPOTLIGHT TIME SHIFTERS",,"£0.41","£0.34",,,"SCHOLASTIC INC."
"340/0031","FCBD 2017 INCAL",,"£0.41","£0.34",,,"HUMANOIDS"
"340/0032","FCBD 2017 TMNT PRELUDE TO DIMENSION X",,"£0.31","£0.26",,,"IDW PUBLISHING"
"340/0033","FCBD 2017 KID SAVAGE",,"£0.31","£0.26",,,"IMAGE COMICS"
