"357/0001","PREVIEWS #359 ONLY AUGUST",,"2.50",,,,"DIAMOND PUBLICATIONS"
"357/0002","MARVEL PREVIEWS #359 ONLY AUGUST",,"0.75",,,,"DIAMOND PUBLICATIONS"
"357/0003","PREVIEWS MARVEL IMAGE PLUS PREVIEWS #359 AUGUST",,"2.50",,,,"DIAMOND PUBLICATIONS"
"357/0004","CUSTOMER ORDER FORM PREVIEWS #359 AUGUST",,"0.00",,,,"DIAMOND PUBLICATIONS"
"357/0010","GAME TRADE MAGAZINE #222",,"0.75",,,,"DIAMOND PUBLICATIONS"
"357/0012","LEVIATHAN #1 (MR)",,"2.95",,,,"IMAGE COMICS"
"357/0013","CHEW TP 01 (MR)",,"7.40",,,,"IMAGE COMICS"
"357/0014","CHEW TP 02 INTERNATIONAL FLAVOR (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0015","CHEW TP 03 JUST DESSERTS (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0016","CHEW TP 04 FLAMBE (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0017","CHEW TP 05 MAJOR LEAGUE CHEW (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0018","CHEW TP 06 SPACE CAKES (MR)",,"11.50",,,,"IMAGE COMICS"
"357/0019","CHEW TP 07 BAD APPLES (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0020","CHEW TP 08 FAMILY RECIPES (MR)",,"9.99",,,,"IMAGE COMICS"
"357/0021","CHEW TP 09 CHICKEN TENDERS (MR)",,"11.50",,,,"IMAGE COMICS"
"357/0022","CHEW TP 10 BLOOD PUDDIN (MR)",,"11.50",,,,"IMAGE COMICS"
"357/0023","CHEW TP 11 LAST SUPPERS (MR)",,"11.50",,,,"IMAGE COMICS"
"357/0024","CHEW TP 12 (MR)",,"12.50",,,,"IMAGE COMICS"
"357/0025","CHEW OMNIVORE ED HC 01 (MR)",,"23.99",,,,"IMAGE COMICS"
"357/0026","CHEW OMNIVORE ED HC 02 (MR)",,"23.99",,,,"IMAGE COMICS"
"357/0027","CHEW OMNIVORE ED HC 03 (MR)",,"23.99",,,,"IMAGE COMICS"
"357/0028","CHEW OMNIVORE ED HC 04 (MR)",,"23.99",,,,"IMAGE COMICS"
"357/0029","CHEW OMNIVORE ED HC 05 (MR)",,"23.99",,,,"IMAGE COMICS"
"357/0030","CHEW OMNIVORE ED HC 06 (MR)",,"27.00",,,,"IMAGE COMICS"
"357/0031","IMAGE FIRSTS CHEW CURR PTG #1 (MR)",,"0.80",,,,"IMAGE COMICS"
"357/0032","MANHATTAN PROJECTS TP 01 SCIENCE BAD",,"11.50",,,,"IMAGE COMICS"
"357/0033","MANHATTAN PROJECTS TP 02",,"11.50",,,,"IMAGE COMICS"
"357/0034","MANHATTAN PROJECTS TP 03",,"11.50",,,,"IMAGE COMICS"
"357/0035","MANHATTAN PROJECTS TP 04 FOUR DISCIPLINES",,"11.50",,,,"IMAGE COMICS"
"357/0036","MANHATTAN PROJECTS TP 05 THE COLD WAR",,"11.50",,,,"IMAGE COMICS"
"357/0037","MANHATTAN PROJECTS TP 06",,"11.50",,,,"IMAGE COMICS"
"357/0038","PERDY HC 01 (MR)","OUR PRICE","13.04","REDUCED FROM","17.99",,"IMAGE COMICS"
"357/0039","BITCH PLANET TP 01 EXTRAORDINARY MACHINE (MR)",,"7.40",,,,"IMAGE COMICS"
"357/0040","BITCH PLANET TP 02 PRESIDENT BITCH (MR)",,"11.50",,,,"IMAGE COMICS"
"357/0041","OUTLAW TERRITORY GN 01 (MR)",,"14.50",,,,"IMAGE COMICS"
"357/0042","OUTLAW TERRITORY GN 02 (MR)",,"14.50",,,,"IMAGE COMICS"
"357/0043","OUTLAW TERRITORY GN 03 (MR)",,"18.25",,,,"IMAGE COMICS"
"357/0044","COLD SPOTS #1 (OF 5) (MR)",,"2.95",,,,"IMAGE COMICS"
"357/0045","REGRESSION TP 01 WAY DOWN DEEP (MR)",,"7.40",,,,"IMAGE COMICS"
"357/0046","CROWDED #1 CVR A STEIN & BRANDT",,"2.95",,,,"IMAGE COMICS"
"357/0047","CROWDED #1 CVR B STOTT",,"2.95",,,,"IMAGE COMICS"
"357/0048","DEADLY CLASS DLX HC 01 (MR)",,"33.75",,,,"IMAGE COMICS"
"357/0049","PRIVATE EYE DLX ED HC (MR)",,"33.75",,,,"IMAGE COMICS"
"357/0050","CURSE WORDS SUMMER SPECIAL #1 CVR A BROWNE (ONE-SHOT) (MR)",,"2.95",,,,"IMAGE COMICS"
"357/0051","CURSE WORDS SUMMER SPECIAL #1 CVR B QUINONES (ONE-SHOT) (MR)",,"2.95",,,,"IMAGE COMICS"
"357/0052","CURSE WORDS TP 01 (MR)",,"7.40",,,,"IMAGE COMICS"
"357/0053","CURSE WORDS TP 02 EXPLOSIONTOWN (MR)",,"12.50",,,,"IMAGE COMICS"
"357/0054","IMAGE FIRSTS CURSE WORDS #1 (MR)",,"0.80",,,,"IMAGE COMICS"
"357/0055","HEY KIDS COMICS #1 (MR)",,"2.95",,,,"IMAGE COMICS"
"357/0056","SATELLITE SAM TP 01 (MR)",,"7.40",,,,"IMAGE COMICS"
"357/0057","SATELLITE SAM TP 02 SATELLITE SAM & KINESCOPE SNUFF (MR)",,"11.50",,,,"IMAGE COMICS"
